"Categoria Tariffa","Tipo BP","Stato Utenza","Stato Utenza IS-U","Conto Co.Ge.","Fatturato emesso","Totale Inevaso","Credito NON Scaduto","Credito Scaduto","Aging credito scaduto:30gg","Aging credito scaduto:60gg","Aging credito scaduto:90gg","Aging credito scaduto:120gg","Aging credito scaduto:150gg","Aging credito scaduto:180gg","Aging credito scaduto:360gg","Aging credito scaduto:720gg","Aging credito scaduto:over 720gg","codice_BP"
"Pubbliche Comunali","Cliente a trattamento Speciale","Cessato","ATTIVA","Senza attribuz.","402,409.13 EUR","","","","","","","","","","","","","1000002632"
"Pubbliche Comunali","Cliente a trattamento Speciale","Cessato","CESSATA","Senza attribuz.","-13,739.52 EUR","","","","","","","","","","","","","1000003302"
"Pubbliche Comunali","Organizzazione","Attivo","ATTIVA","Crv/Comuni p/ut isu","","348,228.75 EUR","","348,228.75 EUR","","","","","","","","","348,228.75 EUR","1000002373"
"Pubbliche Comunali","Organizzazione","Attivo","ATTIVA","Senza attribuz.","969,499.51 EUR","","","","","","","","","","","","","1000002929"
"Pubbliche Comunali","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Crv/Comuni p/ut isu","","65,036.50 EUR","","65,036.50 EUR","","","","","","","","","65,036.50 EUR","1000002649"
"Pubbliche Comunali","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","66,964.04 EUR","","","","","","","","","","","","","1000002998"
"Pubbliche Comunali","Organizzazione","Cessato con Conto Finale emesso","CESSATA","Crv/Comuni p/ut isu","","43.66 EUR","","43.66 EUR","","","","","","","","","43.66 EUR","1000003177"
"Pubbliche Comunali","Organizzazione","Cessato con Conto Finale emesso","CESSATA","Senza attribuz.","219.97 EUR","","","","","","","","","","","","","1000002880"
"Pubbliche Comunali","Organizzazione","Cessato","ATTIVA","Crv/Comuni p/ut isu","","10,863.13 EUR","","10,863.13 EUR","","","","","","","","","10,863.13 EUR","1000002874"
"Pubbliche Comunali","Organizzazione","Cessato","ATTIVA","Senza attribuz.","24,107.12 EUR","","","","","","","","","","","","","1000002809"
"Pubbliche Comunali","Organizzazione","Cessato","CESSATA","Crv/Comuni p/ut isu","","11,566.94 EUR","","11,566.94 EUR","","","","","","","","","11,566.94 EUR","1000002631"
"Pubbliche Comunali","Organizzazione","Cessato","CESSATA","Senza attribuz.","11,584.05 EUR","","","","","","","","","","","","","1000002739"
"Pubbliche Comunali","Correlate / Collegate","Attivo","ATTIVA","Crediti v utenti isu","","115.44 EUR","","115.44 EUR","","","","","","","","","115.44 EUR","1000002159"
"Pubbliche Comunali","Correlate / Collegate","Attivo","ATTIVA","Senza attribuz.","39,913.41 EUR","","","","","","","","","","","","","1000002978"
"Pubbliche Comunali","Correlate / Collegate","Cessato","ATTIVA","Senza attribuz.","-528,797.25 EUR","","","","","","","","","","","","","1000002742"
"Pubbliche Comunali","Correlate / Collegate","Cessato","CESSATA","Senza attribuz.","-4,602.65 EUR","","","","","","","","","","","","","1000002536"
"Pubbliche Comunali","Privato","Attivo","ATTIVA","Crediti v utenti isu","","15,287.01 EUR","","15,287.01 EUR","","","","","","","","","15,287.01 EUR","1000001765"
"Pubbliche Comunali","Privato","Attivo","ATTIVA","Senza attribuz.","74,378.13 EUR","","","","","","","","","","","","","1000001842"
"Pubbliche Comunali","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","133.55 EUR","","133.55 EUR","","","","","","","","","133.55 EUR","1000001426"
"Pubbliche Comunali","Privato","Cessato con Conto Finale emesso","ATTIVA","Cr v/cont.nte isu ut","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001164"
"Pubbliche Comunali","Privato","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","29,994.99 EUR","","","","","","","","","","","","","1000001384"
"Pubbliche Comunali","Privato","Cessato con Conto Finale emesso","CESSATA","Senza attribuz.","1,188.89 EUR","","","","","","","","","","","","","1000000953"
"Pubbliche Comunali","Privato","Cessato","ATTIVA","Crediti v utenti isu","","11.02 EUR","","11.02 EUR","","","","","","","","","11.02 EUR","1000001652"
"Pubbliche Comunali","Privato","Cessato","ATTIVA","Senza attribuz.","891.83 EUR","","","","","","","","","","","","","1000002077"
"Pubbliche Comunali","Privato","Cessato","CESSATA","Crediti v utenti isu","","-6,757.50 EUR","","-6,757.50 EUR","","","","","","","","","-6,757.50 EUR","1000001969"
"Pubbliche Comunali","Privato","Cessato","CESSATA","Senza attribuz.","-38,232.15 EUR","","","","","","","","","","","","","1000000930"
"Pubbliche Comunali","Gruppo","Attivo","ATTIVA","Senza attribuz.","549,164.01 EUR","","","","","","","","","","","","","1000002212"
"Subdistribuzione","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","118,061.70 EUR","","118,061.70 EUR","","","","","","","","","118,061.70 EUR","1000002498"
"Subdistribuzione","Organizzazione","Attivo","ATTIVA","Crv/Comuni p/ut isu","","1,459,850.98 EUR","","1,459,850.98 EUR","","","","","","","","","1,459,850.98 EUR","1000002802"
"Subdistribuzione","Organizzazione","Attivo","ATTIVA","Senza attribuz.","7,362,503.10 EUR","","","","","","","","","","","","","1000003123"
"Subdistribuzione","Organizzazione","Cessato","ATTIVA","Crv/Comuni p/ut isu","","17,538.57 EUR","","17,538.57 EUR","","","","","","","","","17,538.57 EUR","1000002625"
"Subdistribuzione","Organizzazione","Cessato","ATTIVA","Senza attribuz.","229,255.40 EUR","","","","","","","","","","","","","1000003238"
"Subdistribuzione","Organizzazione","Cessato","CESSATA","Senza attribuz.","0.00 EUR","","","","","","","","","","","","","1000003310"
"Subdistribuzione","Privato","Attivo","ATTIVA","Crediti v utenti isu","","67,386.07 EUR","","67,386.07 EUR","","","","","","","","","67,386.07 EUR","1000001500"
"Subdistribuzione","Privato","Attivo","ATTIVA","Senza attribuz.","2,011,078.64 EUR","","","","","","","","","","","","","1000001383"
"Subdistribuzione","Privato","Cessato","ATTIVA","Crv/Comuni p/ut isu","","7.75 EUR","","7.75 EUR","","","","","","","","","7.75 EUR","1000001712"
"Subdistribuzione","Privato","Cessato","ATTIVA","Senza attribuz.","324,544.90 EUR","","","","","","","","","","","","","1000001870"
"Subdistribuzione","Privato","Cessato","CESSATA","Senza attribuz.","31,801.58 EUR","","","","","","","","","","","","","1000001801"
"Uso Antincendio","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","62.53 EUR","","62.53 EUR","","","","","","","","","62.53 EUR","1000002624"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","124,655.89 EUR","","124,655.89 EUR","","","","","","","","","124,655.89 EUR","1000001132"
"Uso Antincendio","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","4,934.88 EUR","","4,934.88 EUR","","","","","","","0.00 EUR","","4,934.88 EUR","1000001501"
"Uso Antincendio","Privato","Cessato","ATTIVA","Crediti v utenti isu","","4,362.31 EUR","","4,362.31 EUR","","","","","","","","","4,362.31 EUR","1000001617"
"Uso Antincendio","Cliente a trattamento Speciale","Attivo","ATTIVA","Cr v/C.nti ut roma c","","15.03 EUR","","15.03 EUR","","","","","","","","","15.03 EUR","1000002450"
"Uso Antincendio","Cliente a trattamento Speciale","Attivo","ATTIVA","Senza attribuz.","428,192.99 EUR","","","","","","","","","","","","","1000002553"
"Uso Antincendio","Cliente a trattamento Speciale","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","32.91 EUR","","","","","","","","","","","","","1000002583"
"Uso Antincendio","Cliente a trattamento Speciale","Cessato","ATTIVA","Senza attribuz.","264.31 EUR","","","","","","","","","","","","","1000002898"
"Uso Antincendio","Cliente a trattamento Speciale","Cessato","CESSATA","Senza attribuz.","-18.87 EUR","","","","","","","","","","","","","1000003032"
"Uso Antincendio","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","1,256.82 EUR","","1,256.82 EUR","","","","176.41 EUR","","","76.39 EUR","35.00 EUR","969.02 EUR","1000003195"
"Uso Antincendio","Organizzazione","Attivo","ATTIVA","Crv/Comuni p/ut isu","","4,542.11 EUR","","4,542.11 EUR","","","","","","","","","4,542.11 EUR","1000002724"
"Uso Antincendio","Organizzazione","Attivo","ATTIVA","Senza attribuz.","983,077.67 EUR","","","","","","","","","","","","","1000002121"
"Uso Antincendio","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","-53.56 EUR","","-53.56 EUR","","","","","","","","","-53.56 EUR","1000002385"
"Uso Antincendio","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","7,320.67 EUR","","","","","","","","","","","","","1000002171"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","-791.80 EUR","","-791.80 EUR","","","","","","","","","-791.80 EUR","1000003036"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Senza attribuz.","19,115.64 EUR","","","","","","","","","","","","","1000002664"
"Uso Antincendio","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","-412.97 EUR","","-412.97 EUR","","","","","","","","","-412.97 EUR","1000003197"
"Uso Antincendio","Organizzazione","Cessato","CESSATA","Senza attribuz.","-436.10 EUR","","","","","","","","","","","","","1000002426"
"Uso Antincendio","Correlate / Collegate","Attivo","ATTIVA","Cred.v/cor.te ACEA","","910.42 EUR","","910.42 EUR","","","","","","","","","910.42 EUR","1000002581"
"Uso Antincendio","Correlate / Collegate","Attivo","ATTIVA","Senza attribuz.","72,705.01 EUR","","","","","","","","","","","","","1000002620"
"Uso Antincendio","Correlate / Collegate","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","706.46 EUR","","","","","","","","","","","","","1000002861"
"Uso Antincendio","Correlate / Collegate","Cessato","ATTIVA","Senza attribuz.","2,396.87 EUR","","","","","","","","","","","","","1000002133"
"Uso Antincendio","Correlate / Collegate","Cessato","CESSATA","Senza attribuz.","289.94 EUR","","","","","","","","","","","","","1000002432"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","6,288.69 EUR","","6,288.69 EUR","","","","","","","","","6,288.69 EUR","1000001158"
"Uso Antincendio","Privato","Attivo","ATTIVA","Senza attribuz.","1,556,518.00 EUR","","","","","","","","","","","","","1000001571"
"Uso Antincendio","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","209.91 EUR","","209.91 EUR","","","","","","","","","209.91 EUR","1000001633"
"Uso Antincendio","Privato","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","45,141.32 EUR","","","","","","","","","","","","","1000001779"
"Uso Antincendio","Privato","Cessato con Conto Finale emesso","CESSATA","Crediti v utenti isu","","-2.55 EUR","","-2.55 EUR","","","","","","","","","-2.55 EUR","1000001174"
"Uso Antincendio","Privato","Cessato con Conto Finale emesso","CESSATA","Senza attribuz.","380.07 EUR","","","","","","","","","","","","","1000001267"
"Uso Antincendio","Privato","Cessato","ATTIVA","Crediti v utenti isu","","4,859.48 EUR","","4,859.48 EUR","","","","","","","","","4,859.48 EUR","1000001066"
"Uso Antincendio","Privato","Cessato","ATTIVA","Senza attribuz.","93,584.72 EUR","","","","","","","","","","","","","1000000895"
"Uso Antincendio","Privato","Cessato","CESSATA","Crediti v utenti isu","","-13,269.14 EUR","","-13,269.14 EUR","","","","","","","","","-13,269.14 EUR","1000001252"
"Uso Antincendio","Privato","Cessato","CESSATA","Senza attribuz.","213,056.21 EUR","","","","","","","","","","","","","1000001831"
"Uso Antincendio","Gruppo","Attivo","ATTIVA","Senza attribuz.","109,723.38 EUR","","","","","","","","","","","","","1000003148"
"Insediamenti Produttivi","Privato","Attivo","ATTIVA","Crediti v utenti isu","","4,675.71 EUR","","4,675.71 EUR","","","","","","","","","4,675.71 EUR","1000001603"
"Insediamenti Produttivi","Organizzazione","Attivo","ATTIVA","Senza attribuz.","71,304.11 EUR","","","","","","","","","","","","","1000003041"
"Insediamenti Produttivi","Privato","Attivo","ATTIVA","Crediti v utenti isu","","92.72 EUR","","92.72 EUR","","","","","","","","","92.72 EUR","1000001594"
"Insediamenti Produttivi","Privato","Attivo","ATTIVA","Senza attribuz.","233,439.60 EUR","","","","","","","","","","","","","1000001605"
"Insediamenti Produttivi","Privato","Cessato","ATTIVA","Senza attribuz.","772.44 EUR","","","","","","","","","","","","","1000000955"
"Uso Non Potabile","Privato","Attivo","ATTIVA","Crediti v utenti isu","","1,182.65 EUR","","1,182.65 EUR","","","","","","","","","1,182.65 EUR","1000001228"
"Uso Non Potabile","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000000938"
"Uso Non Potabile","Privato","Cessato","ATTIVA","Crediti v utenti isu","","331.20 EUR","","331.20 EUR","","","","","","","","","331.20 EUR","1000001622"
"Uso Non Potabile","Cliente a trattamento Speciale","Attivo","ATTIVA","Senza attribuz.","285,245.91 EUR","","","","","","","","","","","","","1000002541"
"Uso Non Potabile","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000003191"
"Uso Non Potabile","Organizzazione","Attivo","ATTIVA","Senza attribuz.","167,490.93 EUR","","","","","","","","","","","","","1000002456"
"Uso Non Potabile","Organizzazione","Cessato","ATTIVA","Senza attribuz.","11,539.30 EUR","","","","","","","","","","","","","1000002187"
"Uso Non Potabile","Correlate / Collegate","Attivo","ATTIVA","Senza attribuz.","52,919.34 EUR","","","","","","","","","","","","","1000002258"
"Uso Non Potabile","Correlate / Collegate","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","1,609.44 EUR","","","","","","","","","","","","","1000002684"
"Uso Non Potabile","Privato","Attivo","ATTIVA","Crediti v utenti isu","","19,205.63 EUR","","19,205.63 EUR","","","","","","","","","19,205.63 EUR","1000001472"
"Uso Non Potabile","Privato","Attivo","ATTIVA","Senza attribuz.","603,628.83 EUR","","","","","","","","","","","","","1000001469"
"Uso Non Potabile","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000002006"
"Uso Non Potabile","Privato","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","87,204.92 EUR","","","","","","","","","","","","","1000001756"
"Uso Non Potabile","Privato","Cessato","ATTIVA","Crediti v utenti isu","","0.04 EUR","","0.04 EUR","","","","","","","","","0.04 EUR","1000001303"
"Uso Non Potabile","Privato","Cessato","ATTIVA","Senza attribuz.","112,333.88 EUR","","","","","","","","","","","","","1000001298"
"Uso Non Potabile","Privato","Cessato","CESSATA","Crediti v utenti isu","","-1,864.20 EUR","","-1,864.20 EUR","","","","","","","","","-1,864.20 EUR","1000001959"
"Uso Non Potabile","Privato","Cessato","CESSATA","Senza attribuz.","-7,022.43 EUR","","","","","","","","","","","","","1000001889"
"Uso Non Potabile","Gruppo","Attivo","ATTIVA","Senza attribuz.","17,343.00 EUR","","","","","","","","","","","","","1000003236"
"Scarichi Civili","Privato","Attivo","ATTIVA","Crediti v utenti isu","","918.38 EUR","","918.38 EUR","","","","","","","","","918.38 EUR","1000001401"
"Scarichi Civili","Organizzazione","Attivo","ATTIVA","Senza attribuz.","27,383.89 EUR","","","","","","","","","","","","","1000003206"
"Scarichi Civili","Privato","Attivo","ATTIVA","Crediti v utenti isu","","19,574.54 EUR","","19,574.54 EUR","","","","","","","","","19,574.54 EUR","1000001766"
"Scarichi Civili","Privato","Attivo","ATTIVA","Senza attribuz.","60,165.21 EUR","","","","","","","","","","","","","1000001798"
"Scarichi Civili","Privato","Cessato","ATTIVA","Senza attribuz.","2,497.06 EUR","","","","","","","","","","","","","1000001953"
"Scarichi Civili","Privato","Cessato","CESSATA","Crediti v utenti isu","","-78.87 EUR","","-78.87 EUR","","","","","","","","","-78.87 EUR","1000001841"
"Scarichi Civili","Privato","Cessato","CESSATA","Senza attribuz.","740.32 EUR","","","","","","","","","","","","","1000001818"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","13,934.83 EUR","","13,934.83 EUR","","","","","","","","","13,934.83 EUR","1000001915"
"Senza attribuz.","Cliente a trattamento Speciale","Cessato","CESSATA","Senza attribuz.","-735.84 EUR","","","","","","","","","","","","","1000002738"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","131.92 EUR","","131.92 EUR","","","","","","","","","131.92 EUR","1000002869"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crv/Comuni p/ut isu","","-6,882.12 EUR","","-6,882.12 EUR","","","","","","","","","-6,882.12 EUR","1000002355"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Senza attribuz.","-120,870.96 EUR","","","","","","","","","","","","","1000002481"
"Senza attribuz.","Correlate / Collegate","Cessato","CESSATA","Crediti v utenti isu","","-2,293.21 EUR","","-2,293.21 EUR","","","","","","","","","-2,293.21 EUR","1000002425"
"Senza attribuz.","Correlate / Collegate","Cessato","CESSATA","Senza attribuz.","-2,293.21 EUR","","","","","","","","","","","","","1000002655"
"Senza attribuz.","Privato","Attivo","CESSATA","Senza attribuz.","7,777.31 EUR","","","","","","","","","","","","","1000001727"
"Senza attribuz.","Privato","Cessato con Conto Finale emesso","CESSATA","Senza attribuz.","77.51 EUR","","","","","","","","","","","","","1000001593"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-19,190.24 EUR","","-19,190.24 EUR","","","","","","","","","-19,190.24 EUR","1000001139"
"Senza attribuz.","Privato","Cessato","CESSATA","Senza attribuz.","-138,835.90 EUR","","","","","","","","","","","","","1000001261"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","-1,923,589.50 EUR","","","","","","","","","","","","","1000002615"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","628,093.58 EUR","","628,093.58 EUR","","","","","","","442.04 EUR","5,962.86 EUR","621,688.68 EUR","1000001980"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","154,984.57 EUR","","154,984.57 EUR","","","","","","","","311.69 EUR","154,672.88 EUR","1000001154"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","273,414.55 EUR","","273,414.55 EUR","","","","","","","","845.11 EUR","272,569.44 EUR","1000001150"
"Domestiche Residenti","Privato","Cessato","CESSATA","Crediti v utenti isu","","4,055.81 EUR","","4,055.81 EUR","","","","","","","","","4,055.81 EUR","1000001482"
"Domestiche Residenti","Cliente a trattamento Speciale","Attivo","ATTIVA","Cr v/C.nti ut roma c","","630.81 EUR","","630.81 EUR","","","","","","","","630.81 EUR","","1000002752"
"Domestiche Residenti","Cliente a trattamento Speciale","Attivo","ATTIVA","Senza attribuz.","1,245.25 EUR","","","","","","","","","","","","","1000002578"
"Domestiche Residenti","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","4,761.63 EUR","","4,761.63 EUR","","","","","","","","1,163.22 EUR","3,598.41 EUR","1000002455"
"Domestiche Residenti","Organizzazione","Attivo","ATTIVA","Crv/Comuni p/ut isu","","640.93 EUR","","640.93 EUR","","","","","","","","","640.93 EUR","1000002957"
"Domestiche Residenti","Organizzazione","Attivo","ATTIVA","Senza attribuz.","325,178.55 EUR","","","","","","","","","","","","","1000002749"
"Domestiche Residenti","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","1,041.69 EUR","","1,041.69 EUR","","","","","","","","","1,041.69 EUR","1000002468"
"Domestiche Residenti","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","5,959.42 EUR","","","","","","","","","","","","","1000003277"
"Domestiche Residenti","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","10.60 EUR","","10.60 EUR","","","","","","","","","10.60 EUR","1000002298"
"Domestiche Residenti","Organizzazione","Cessato","ATTIVA","Senza attribuz.","3,023.89 EUR","","","","","","","","","","","","","1000003269"
"Domestiche Residenti","Organizzazione","Cessato","CESSATA","Senza attribuz.","0.00 EUR","","","","","","","","","","","","","1000002472"
"Domestiche Residenti","Correlate / Collegate","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","0.00 EUR","","1000002591"
"Domestiche Residenti","Correlate / Collegate","Attivo","ATTIVA","Senza attribuz.","91.46 EUR","","","","","","","","","","","","","1000003168"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","4,498,595.15 EUR","13,159.34 EUR","4,485,435.81 EUR","1,156.09 EUR","53.00 EUR","53.00 EUR","75.84 EUR","73.00 EUR","5,452.15 EUR","5,587.23 EUR","214,346.07 EUR","4,258,639.43 EUR","1000001691"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Dep cauz ISU","","9,160.00 EUR","","9,160.00 EUR","","","","","","","","","9,160.00 EUR","1000001906"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Senza attribuz.","82,565,384.66 EUR","","","","","","","","","","","","","1000001340"
"Domestiche Residenti","Privato","Attivo","CESSATA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001453"
"Domestiche Residenti","Privato","Attivo","CESSATA","Senza attribuz.","-258.06 EUR","","","","","","","","","","","","","1000001322"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","709,953.01 EUR","766.15 EUR","709,186.86 EUR","464.00 EUR","0.00 EUR","0.00 EUR","0.00 EUR","0.00 EUR","0.00 EUR","2,754.23 EUR","57,447.81 EUR","648,520.82 EUR","1000001134"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Dep cauz ISU","","22.20 EUR","","22.20 EUR","","","","","","","","","22.20 EUR","1000001293"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","5,083,253.96 EUR","","","","","","","","","","","","","1000001558"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","CESSATA","Crediti v utenti isu","","6,020.24 EUR","","6,020.24 EUR","","","","","","","","","6,020.24 EUR","1000002041"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","CESSATA","Senza attribuz.","-91,384.45 EUR","","","","","","","","","","","","","1000001786"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","1,333,046.44 EUR","3,935.65 EUR","1,329,110.79 EUR","0.00 EUR","0.00 EUR","","","","","598.00 EUR","55,597.46 EUR","1,272,915.33 EUR","1000001227"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Dep cauz ISU","","290.93 EUR","","290.93 EUR","","","","","","","","","290.93 EUR","1000001372"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Senza attribuz.","4,633,051.39 EUR","","","","","","","","","","","","","1000001689"
"Domestiche Residenti","Privato","Cessato","CESSATA","Crediti v utenti isu","","134,481.63 EUR","","134,481.63 EUR","","","","","","","","4,566.94 EUR","129,914.69 EUR","1000001109"
"Domestiche Residenti","Privato","Cessato","CESSATA","Senza attribuz.","-526,326.99 EUR","","","","","","","","","","","","","1000001825"
"Domestiche Residenti","Gruppo","Attivo","ATTIVA","Senza attribuz.","5,786.32 EUR","","","","","","","","","","","","","1000002150"
"Domestiche Non Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","20,072.36 EUR","","20,072.36 EUR","","","","","","","","1,095.49 EUR","18,976.87 EUR","1000001050"
"Domestiche Non Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","609.47 EUR","","609.47 EUR","","","","","","","","","609.47 EUR","1000001432"
"Domestiche Non Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","380.28 EUR","","380.28 EUR","","","","","","","","","380.28 EUR","1000002036"
"Domestiche Non Residenti","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","590.71 EUR","","590.71 EUR","","","","","","","","454.64 EUR","136.07 EUR","1000002260"
"Domestiche Non Residenti","Organizzazione","Attivo","ATTIVA","Senza attribuz.","590.71 EUR","","","","","","","","","","","","","1000002564"
"Domestiche Non Residenti","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","282.29 EUR","","282.29 EUR","","","","","","","","215.62 EUR","66.67 EUR","1000002637"
"Domestiche Non Residenti","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","282.29 EUR","","","","","","","","","","","","","1000003021"
"Domestiche Non Residenti","Organizzazione","Cessato","ATTIVA","Senza attribuz.","29.40 EUR","","","","","","","","","","","","","1000002267"
"Domestiche Non Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","232,905.23 EUR","","232,905.23 EUR","","","","","","","331.63 EUR","3,033.34 EUR","229,540.26 EUR","1000001954"
"Domestiche Non Residenti","Privato","Attivo","ATTIVA","Dep cauz ISU","","223.83 EUR","","223.83 EUR","","","","","","","","","223.83 EUR","1000001645"
"Domestiche Non Residenti","Privato","Attivo","ATTIVA","Senza attribuz.","1,446,512.34 EUR","","","","","","","","","","","","","1000001986"
"Domestiche Non Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","51,841.01 EUR","","51,841.01 EUR","","","","","","0.00 EUR","0.00 EUR","6,272.74 EUR","45,568.27 EUR","1000001866"
"Domestiche Non Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Dep cauz ISU","","24.07 EUR","","24.07 EUR","","","","","","","","","24.07 EUR","1000001026"
"Domestiche Non Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Senza attribuz.","172,063.15 EUR","","","","","","","","","","","","","1000001988"
"Domestiche Non Residenti","Privato","Cessato con Conto Finale emesso","CESSATA","Crediti v utenti isu","","294.27 EUR","","294.27 EUR","","","","","","","","","294.27 EUR","1000001792"
"Domestiche Non Residenti","Privato","Cessato con Conto Finale emesso","CESSATA","Senza attribuz.","294.27 EUR","","","","","","","","","","","","","1000002054"
"Domestiche Non Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","44,742.19 EUR","","44,742.19 EUR","","","","","","","","568.62 EUR","44,173.57 EUR","1000002090"
"Domestiche Non Residenti","Privato","Cessato","ATTIVA","Senza attribuz.","-3,397.32 EUR","","","","","","","","","","","","","1000001782"
"Domestiche Non Residenti","Privato","Cessato","CESSATA","Crediti v utenti isu","","6,692.68 EUR","","6,692.68 EUR","","","","","","","","511.33 EUR","6,181.35 EUR","1000001802"
"Domestiche Non Residenti","Privato","Cessato","CESSATA","Senza attribuz.","-12,067.65 EUR","","","","","","","","","","","","","1000001202"
"Condominiali Domestiche","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","6,886.42 EUR","","6,886.42 EUR","","","","","","","","","6,886.42 EUR","1000002314"
"Condominiali Domestiche","Organizzazione","Attivo","ATTIVA","Crv/Comuni p/ut isu","","697.77 EUR","","697.77 EUR","","","","","","","","164.91 EUR","532.86 EUR","1000002822"
"Condominiali Domestiche","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","6,257.79 EUR","","6,257.79 EUR","","","","","","","","","6,257.79 EUR","1000002827"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","416,674.93 EUR","3,822.66 EUR","412,852.27 EUR","0.00 EUR","0.00 EUR","0.00 EUR","0.00 EUR","0.00 EUR","","","21,729.91 EUR","391,122.36 EUR","1000001916"
"Condominiali Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","43,888.76 EUR","","43,888.76 EUR","","","","","","","","0.00 EUR","43,888.76 EUR","1000001476"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","141,357.54 EUR","","141,357.54 EUR","","","","","","","","","141,357.54 EUR","1000001182"
