"SR - Tipo BP","ID Service Request","SR - Stato Sistema","SR - Stato utente","SR - Categorizzazione I","SR - Categorizzazione II","SR - Categorizzazione III","SR - Tipo processo","
N. SR","codice_BP"
"Pubblica Amministrazione","8000351195","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000003246"
"Pubblica Amministrazione","8000351292","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000003093"
"Pubblica Amministrazione","8000351349","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002688"
"Pubblica Amministrazione","8000351630","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002591"
"Pubblica Amministrazione","8000351720","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002931"
"Pubblica Amministrazione","8000351904","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002980"
"Pubblica Amministrazione","8000352038","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002720"
"Pubblica Amministrazione","8000354018","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002619"
"Pubblica Amministrazione","8000357600","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002403"
"Pubblica Amministrazione","8000357662","Aperto","Nuovo","Richiesta Post Sales","Perdita occulta all'impianto interno","ZCAT01/Senza attribuz.","Depenalizzazione","1","1000002985"
"Pubblica Amministrazione","8000360965","Aperto","In lavorazione","Gestione Utenza","Richiesta attestato allaccio in fogna","ZCAT01/Senza attribuz.","Gestione Utenza","1","1000002279"
"Pubblica Amministrazione","8000361010","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Trasformazione impianti","Preventivaz. idrica","1","1000002229"
"Pubblica Amministrazione","8000361455","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000003039"
"Pubblica Amministrazione","8000362304","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000003131"
"Pubblica Amministrazione","8000362490","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000003087"
"Pubblica Amministrazione","8000362892","Aperto","In attesa consuntivazione Ods","Processi commerciali","Nuova attivazione","Nuovo Allaccio","Nuova Attivazione","1","1000002200"
"Pubblica Amministrazione","8000363075","Aperto","In attesa consuntivazione Ods","Processi commerciali","Nuova attivazione","Nuovo Allaccio","Nuova Attivazione","1","1000002925"
"Pubblica Amministrazione","8000363385","Aperto","In attesa consuntivazione Ods","Processi commerciali","Nuova attivazione","Nuovo Allaccio","Nuova Attivazione","1","1000002430"
"Pubblica Amministrazione","8000363550","Aperto","In attesa consuntivazione Ods","Processo Commerciale","Variazione d'impegno","ZCAT01/Senza attribuz.","Variazione d'impegno","1","1000002947"
"Pubblica Amministrazione","8000364453","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002602"
"Pubblica Amministrazione","8000365114","Aperto","In attesa consuntivazione Ods","Processi commerciali","Nuova attivazione","Nuovo Allaccio","Nuova Attivazione","1","1000002504"
"Pubblica Amministrazione","8000366190","Aperto","In lavorazione","Richiesta Post Sales","Denuncia scarichi industriali","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000003036"
"Pubblica Amministrazione","8000367071","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002211"
"Pubblica Amministrazione","8000367078","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000003296"
"Pubblica Amministrazione","8000367651","Concluso","Chiuso","Reclami tecnici","Reclami sulla qualità del servizio","Interruzione idrica","Reclamo","1","1000003281"
"Pubblica Amministrazione","8000367711","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002463"
"Pubblica Amministrazione","8000367762","Aperto","In attesa consuntivazione Ods","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000002496"
"Pubblica Amministrazione","8000367823","Aperto","In attesa consuntivazione Ods","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000002541"
"Pubblica Amministrazione","8000367860","Aperto","In attesa consuntivazione Ods","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000002357"
"Pubblica Amministrazione","8000368188","Concluso","Chiuso","Reclami tecnici","Reclami su prestazioni","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000002658"
"Pubblica Amministrazione","8000368611","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002501"
"Pubblica Amministrazione","8000369017","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo fognatura","All. fognario eseguito da cliente","Preventivaz.fognaria","1","1000002827"
"Pubblica Amministrazione","8000370213","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000003096"
"Pubblica Amministrazione","8000370379","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000003204"
"Pubblica Amministrazione","8000370421","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002202"
"Pubblica Amministrazione","8000371236","Aperto","Nuovo","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002184"
"Pubblica Amministrazione","8000371237","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002849"
"Pubblica Amministrazione","8000371323","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002295"
"Pubblica Amministrazione","8000371379","Aperto","In lavorazione","Gestione Utenza","Sostituzione contatore guasto","ZCAT01/Senza attribuz.","Gestione Utenza","1","1000002182"
"Pubblica Amministrazione","8000371395","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002826"
"Pubblica Amministrazione","8000371475","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000003190"
"Pubblica Amministrazione","8000371877","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002367"
"Pubblica Amministrazione","8000372124","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo fognatura","All. fognario eseguito da cliente","Preventivaz.fognaria","1","1000003232"
"Pubblica Amministrazione","8000373664","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002390"
"Pubblica Amministrazione","8000375755","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002371"
"Pubblica Amministrazione","8000376017","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002984"
"Pubblica Amministrazione","8000376089","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002846"
"Pubblica Amministrazione","8000378556","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002342"
"Pubblica Amministrazione","8000379132","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002716"
"Pubblica Amministrazione","8000379260","Concluso","Annullato","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002140"
"Pubblica Amministrazione","8000379267","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002775"
"Pubblica Amministrazione","8000379341","Aperto","In lavorazione","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002617"
"Pubblica Amministrazione","8000379428","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000002676"
"Pubblica Amministrazione","8000397039","Concluso","Chiuso","Reclami tecnici","Reclami su prestazioni","Eccessiva/scarsa pressione erogazione","Reclamo","1","1000002286"
"Pubblica Amministrazione","8000397483","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000003150"
"Privato","8000055719","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001628"
"Privato","8000170350","Concluso","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001899"
"Privato","8000193069","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001929"
"Privato","8000197423","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001357"
"Privato","8000215860","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001025"
"Privato","8000220272","Concluso","Chiuso","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001849"
"Privato","8000235685","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001531"
"Privato","8000247460","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001372"
"Privato","8000248358","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Trasformazione impianti","Preventivaz. idrica","1","1000002004"
"Privato","8000256530","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000000948"
"Privato","8000259395","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001106"
"Privato","8000259847","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001556"
"Privato","8000262498","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001801"
"Privato","8000262650","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Spostamento allacciamento","Preventivaz. idrica","1","1000000971"
"Privato","8000263374","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001117"
"Privato","8000265082","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001035"
"Privato","8000272946","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001470"
"Privato","8000273214","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000000911"
"Privato","8000273513","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001361"
"Privato","8000275301","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio senza attivazione","Preventivaz. idrica","1","1000001203"
"Privato","8000276558","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001732"
"Privato","8000278017","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001263"
"Privato","8000278102","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001867"
"Privato","8000279449","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Spostamento allacciamento","Preventivaz. idrica","1","1000001487"
"Privato","8000281671","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001215"
"Privato","8000283651","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001981"
"Privato","8000285284","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001072"
"Privato","8000287362","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002045"
"Privato","8000288135","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001172"
"Privato","8000288800","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000000981"
"Privato","8000289888","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001107"
"Privato","8000289999","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001185"
"Privato","8000290125","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000000964"
"Privato","8000291863","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001352"
"Privato","8000293704","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Spostamento allacciamento","Preventivaz. idrica","1","1000001181"
"Privato","8000296008","Concluso","Chiuso","Processi commerciali","Richiesta preventivo acquedotto","Variazione d’impegno","Preventivaz. idrica","1","1000001244"
"Privato","8000296790","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001222"
"Privato","8000298743","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001650"
"Privato","8000301305","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001925"
"Privato","8000303487","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001568"
"Privato","8000311500","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001131"
"Privato","8000312182","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Variazione d’impegno","Preventivaz. idrica","1","1000001851"
"Privato","8000313190","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001200"
"Privato","8000313303","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001513"
"Privato","8000315160","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000000965"
"Privato","8000317707","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001377"
"Privato","8000318148","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002016"
"Privato","8000325236","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001576"
"Privato","8000325320","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002088"
"Privato","8000325722","Concluso","Gestione modulistica","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001191"
"Privato","8000326490","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Trasformazione impianti","Preventivaz. idrica","1","1000001982"
"Privato","8000327818","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000000883"
"Privato","8000328109","Concluso","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Consulenza","Preventivaz. idrica","1","1000001056"
"Privato","8000330316","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001439"
"Privato","8000332952","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000000896"
"Privato","8000334136","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001893"
"Privato","8000335150","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001356"
"Privato","8000336396","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Scissione Utenza","Preventivaz. idrica","1","1000001777"
"Privato","8000338255","Concluso","Chiuso","Processi commerciali","Richiesta preventivo acquedotto","Spostamento allacciamento","Preventivaz. idrica","1","1000001710"
"Privato","8000338441","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001320"
"Privato","8000342008","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001710"
"Privato","8000342020","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Variazione d’impegno","Preventivaz. idrica","1","1000001908"
"Privato","8000342159","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Spostamento allacciamento","Preventivaz. idrica","1","1000001665"
"Privato","8000343202","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001463"
"Privato","8000344724","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio senza attivazione","Preventivaz. idrica","1","1000001196"
"Privato","8000344868","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001819"
"Privato","8000344882","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002085"
"Privato","8000344883","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000000899"
"Privato","8000344886","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000000922"
"Privato","8000344887","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001853"
"Privato","8000344888","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001457"
"Privato","8000344889","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001270"
"Privato","8000344892","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001789"
"Privato","8000344894","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001001"
"Privato","8000344895","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001277"
"Privato","8000344897","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001147"
"Privato","8000344901","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001802"
"Privato","8000344903","Concluso","Chiuso","Processo Commerciale","Cambio d'uso","ZCAT01/Senza attribuz.","Cambio d'uso","1","1000001318"
"Privato","8000344904","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001950"
"Privato","8000344905","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001112"
"Privato","8000344907","Concluso","Chiuso","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000001961"
"Privato","8000344911","Aperto","Gestione modulistica","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000000993"
"Privato","8000344912","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001749"
"Privato","8000344913","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000000949"
"Privato","8000344914","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001841"
"Privato","8000344915","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001645"
"Privato","8000344916","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001757"
"Privato","8000344917","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001148"
"Privato","8000344918","Concluso","Chiuso","Richiesta di Rettifica di Fatturazione","Tariffe/Canoni/Cauzioni","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000001496"
